"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"Hebp1"	-0.430280980055992	4.24193575411561	-7.21939818333876	2.66143902346281e-09	2.70703947552087e-07	11.0341836156037
"Gpr37"	0.472307517912123	4.63122604947309	7.22516226899805	2.60669463729471e-09	2.69679735126898e-07	11.0150054613885
"Cdc40"	-0.251234257400841	5.27177566040293	-7.24655390354737	2.41320926898545e-09	2.51872802721756e-07	11.0102380803906
"Gls2"	0.435467254341742	4.68740233649826	7.20999710507865	2.75320848969845e-09	2.78265736531611e-07	10.9774903514739
"Cst6"	-0.560092929377398	5.28491977476413	-7.22400505201288	2.61759402246034e-09	2.69679735126898e-07	10.9746544918823
"Dnal4"	-0.286236347679203	4.91236474530399	-7.19353576503588	2.92160016596936e-09	2.91593956564779e-07	10.8656646877028
"Cacnb4"	0.514176862794277	6.71204256476397	7.21951027899865	2.66036348847964e-09	2.70703947552087e-07	10.8384284318293
"Galnt9"	0.546205374660863	6.12049691344667	7.19421495495221	2.91445247558004e-09	2.91593956564779e-07	10.7840829446827
"Adora1"	0.384429064510674	5.55517918637605	7.18682915259926	2.99312936598312e-09	2.96877533201146e-07	10.7762657692921
"Rasal1"	-0.439713084822122	7.19362145020895	-7.18502074355591	3.01271547530039e-09	2.9697563842637e-07	10.6959287545058
"Nefh"	0.886181200156085	5.24711352587486	7.13452889066879	3.61459890577852e-09	3.51960548331568e-07	10.6843806773318
"Rhbdl3"	-0.495667054996928	4.72919925409879	-7.12410850016808	3.75308160338192e-09	3.62328765443603e-07	10.6426448994948
"Cdh20"	0.707823788550353	4.15734264142459	7.10607886521406	4.00535679909505e-09	3.83003249848796e-07	10.6417618939382
"Tcf19"	0.593319259122486	2.14441856626495	7.08129167825107	4.38014179623761e-09	4.16348121095943e-07	10.6398673038932
"Nr4a2"	1.68144396616704	7.04273519755597	7.13992885260658	3.54486094964126e-09	3.47287634998903e-07	10.5814809804886
"Cpne9"	0.887882465014086	2.88930478450776	7.05565391753658	4.8047754854484e-09	4.51337998394856e-07	10.5808274990109
"Stxbp6"	-0.606553746061285	4.13916418608049	-7.06452947092925	4.6532985059141e-09	4.39695407342853e-07	10.4964211001816
"Nucb1"	0.187824431664768	7.85304426621568	7.12312240893872	3.76645845473343e-09	3.62328765443603e-07	10.4644711826207
"Gjb1"	0.880691923880623	1.11697436707551	7.03028541200437	5.2655103356341e-09	4.91340592604467e-07	10.3892351629828
"Rai14"	0.520324145683081	4.59565872059718	7.023843991071	5.38937766128873e-09	4.97473825856183e-07	10.3247461573922
"Npy2r"	-1.13368006899672	0.925601598939847	-7.01083737415041	5.64845543880399e-09	5.12501050581028e-07	10.2394341926229
"Trpc6"	0.495188843195017	4.26491834987398	6.98588782486921	6.18083154016955e-09	5.54503926207683e-07	10.2062540298639
"Usp6nl"	-0.239948434158909	6.07152053754036	-7.02888658702975	5.29216494006941e-09	4.91340592604467e-07	10.1777316093051
"Nrip3"	0.449415308551838	6.31317036282431	7.01256469769121	5.6133438204571e-09	5.12501050581028e-07	10.1132305003839
"Etv5"	0.401616023170769	6.14080422721182	7.01132538988371	5.63851323225025e-09	5.12501050581028e-07	10.1077576753572
